name,price,rr
"POCO C31 (Royal Blue, 64 GB)","₹9,499","2,12,742 Ratings & 13,426 Reviews"
"POCO C31 (Royal Blue, 32 GB)","₹8,499","1,39,876 Ratings & 8,817 Reviews"
"POCO C31 (Shadow Gray, 64 GB)","₹9,499","2,12,742 Ratings & 13,426 Reviews"
"POCO C55 (Cool Blue, 64 GB)","₹8,499","5,096 Ratings & 216 Reviews"
"POCO M4 Pro (Cool Blue, 128 GB)","₹16,499","1,59,987 Ratings & 14,165 Reviews"
"POCO C55 (Cool Blue, 128 GB)","₹9,999","3,149 Ratings & 134 Reviews"
"realme C30 (Lake Blue, 32 GB)","₹5,999","94,786 Ratings & 5,000 Reviews"
"realme C30 (Denim Black, 32 GB)","₹5,999","94,786 Ratings & 5,000 Reviews"
"realme C30 (Bamboo Green, 32 GB)","₹5,999","94,786 Ratings & 5,000 Reviews"
"POCO C31 (Shadow Gray, 32 GB)","₹8,499","1,39,876 Ratings & 8,817 Reviews"
"MOTOROLA e13 (Aurora Green, 64 GB)","₹7,749","8,029 Ratings & 706 Reviews"
"POCO C55 (Power Black, 64 GB)","₹8,499","5,096 Ratings & 216 Reviews"
"realme C30 (Denim Black, 32 GB)","₹6,999","44,081 Ratings & 2,770 Reviews"
"MOTOROLA G62 5G (Frosted Blue, 128 GB)","₹15,499","22,903 Ratings & 2,135 Reviews"
"realme C30 (Lake Blue, 32 GB)","₹6,999","44,081 Ratings & 2,770 Reviews"
"POCO M4 5G (Power Black, 64 GB)","₹12,999","62,247 Ratings & 4,525 Reviews"
"Infinix SMART 7 (Night Black, 64 GB)","₹7,499","7,272 Ratings & 364 Reviews"
"Infinix SMART 7 (Emerald Green, 64 GB)","₹7,499","7,272 Ratings & 364 Reviews"
"Infinix SMART 7 (Azure Blue, 64 GB)","₹7,499","7,272 Ratings & 364 Reviews"
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹15,990",
Nokia 105 SS,"₹1,299","34,824 Ratings & 2,385 Reviews"
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹15,990",
"MOTOROLA e40 (Carbon Gray, 64 GB)","₹8,499","76,165 Ratings & 7,043 Reviews"
"MOTOROLA g52 (Charcoal Grey, 64 GB)","₹10,999","13,681 Ratings & 1,538 Reviews"
"POCO M4 5G (Cool Blue, 64 GB)","₹12,999","62,247 Ratings & 4,525 Reviews"
"MOTOROLA G32 (Mineral Gray, 128 GB)","₹11,999",913 Ratings & 42 Reviews
"Realme C30 - Locked with Airtel Prepaid (Denim Black, 32 GB)","₹5,549","94,786 Ratings & 5,000 Reviews"
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹10,999","1,33,514 Ratings & 7,609 Reviews"
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹14,490",220 Ratings & 0 Reviews
"realme C30 (Bamboo Green, 32 GB)","₹6,999","44,081 Ratings & 2,770 Reviews"
"POCO M4 Pro (Cool Blue, 64 GB)","₹14,999","1,59,987 Ratings & 14,165 Reviews"
"POCO M4 5G (Cool Blue, 128 GB)","₹14,999","31,355 Ratings & 2,307 Reviews"
"MOTOROLA G62 5G (Midnight Gray, 128 GB)","₹16,499","8,033 Ratings & 724 Reviews"
"POCO C55 (Power Black, 128 GB)","₹9,999","3,149 Ratings & 134 Reviews"
"MOTOROLA G32 (Satin Silver, 128 GB)","₹11,999",913 Ratings & 42 Reviews
"POCO C55 (Forest Green, 64 GB)","₹8,499","5,096 Ratings & 216 Reviews"
"MOTOROLA g72 (Meteorite Grey, 128 GB)","₹14,999","12,523 Ratings & 1,648 Reviews"
"REDMI A1+ (Light Green, 32 GB)","₹6,999",748 Ratings & 56 Reviews
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹9,249","6,661 Ratings & 219 Reviews"
Nokia 105 SS,"₹1,299","34,824 Ratings & 2,385 Reviews"
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹10,999","1,33,514 Ratings & 7,609 Reviews"
"realme 10 Pro 5G (Nebula Blue, 128 GB)","₹19,999","7,656 Ratings & 587 Reviews"
"realme 10 Pro 5G (Nebula Blue, 128 GB)","₹18,999","13,032 Ratings & 965 Reviews"
"MOTOROLA g52 (Charcoal Grey, 128 GB)","₹12,999","32,952 Ratings & 3,684 Reviews"
"MOTOROLA g31 (Meteorite Grey, 64 GB)","₹9,499","37,190 Ratings & 4,069 Reviews"
"POCO M4 5G (Power Black, 128 GB)","₹14,999","31,355 Ratings & 2,307 Reviews"
"REDMI A1+ (Light Blue, 32 GB)","₹6,999",748 Ratings & 56 Reviews
"MOTOROLA e13 (Cosmic Black, 64 GB)","₹7,749","8,029 Ratings & 706 Reviews"
"realme 10 Pro 5G (Hyperspace, 128 GB)","₹18,999","13,032 Ratings & 965 Reviews"
"realme 10 Pro 5G (Dark Matter, 128 GB)","₹18,999","13,032 Ratings & 965 Reviews"
"POCO M4 Pro (Yellow, 128 GB)","₹16,499","1,59,987 Ratings & 14,165 Reviews"
"MOTOROLA g31 (Baby Blue, 128 GB)","₹10,999","15,706 Ratings & 1,553 Reviews"
"MOTOROLA G32 (Mineral Gray, 64 GB)","₹10,499","33,144 Ratings & 3,079 Reviews"
"MOTOROLA g72 (Polar Blue, 128 GB)","₹14,999","12,523 Ratings & 1,648 Reviews"
"REDMI A1 (Black, 32 GB)","₹6,445","5,530 Ratings & 255 Reviews"
"MOTOROLA e13 (Creamy White, 64 GB)","₹7,749","8,029 Ratings & 706 Reviews"
"POCO M4 5G (Yellow, 64 GB)","₹12,999","62,247 Ratings & 4,525 Reviews"
"REDMI A1+ (Black, 32 GB)","₹6,999",748 Ratings & 56 Reviews
"MOTOROLA G62 5G (Frosted Blue, 128 GB)","₹16,499","8,033 Ratings & 724 Reviews"
"Infinix Hot 12 (Polar Black, 64 GB)","₹8,499","22,540 Ratings & 1,547 Reviews"
"Infinix Hot 12 (7° Purple, 64 GB)","₹8,499","22,540 Ratings & 1,547 Reviews"
"Infinix Hot 12 (Exploratory Blue, 64 GB)","₹8,499","22,540 Ratings & 1,547 Reviews"
"POCO C55 (Forest Green, 128 GB)","₹9,999","3,149 Ratings & 134 Reviews"
"vivo T1 44W (Starry Sky, 128 GB)","₹15,999","55,850 Ratings & 3,920 Reviews"
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹10,999","1,33,514 Ratings & 7,609 Reviews"
"vivo T1 44W (Midnight Galaxy, 128 GB)","₹14,499","97,778 Ratings & 6,494 Reviews"
"vivo T1 44W (Starry Sky, 128 GB)","₹14,499","97,778 Ratings & 6,494 Reviews"
"Infinix Hot 12 (Turquoise Cyan, 64 GB)","₹8,499","22,540 Ratings & 1,547 Reviews"
"POCO C50 (Country Green, 32 GB)","₹6,499","11,805 Ratings & 442 Reviews"
"REDMI 10 (Shadow Black, 64 GB)","₹9,999","2,07,741 Ratings & 12,967 Reviews"
"POCO M4 5G (Cool Blue, 128 GB)","₹14,999","31,355 Ratings & 2,307 Reviews"
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹14,490",220 Ratings & 0 Reviews
"REDMI 10 (Shadow Black, 64 GB)","₹9,999","2,07,741 Ratings & 12,967 Reviews"
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹14,490",220 Ratings & 0 Reviews
"vivo T1 44W (Midnight Galaxy, 128 GB)","₹15,999","55,850 Ratings & 3,920 Reviews"
"MOTOROLA g22 (Cosmic Black, 64 GB)","₹9,499","31,658 Ratings & 3,608 Reviews"
"Realme C30 - Locked with Airtel Prepaid (Bamboo Green, 32 GB)","₹5,549","94,786 Ratings & 5,000 Reviews"
"REDMI 10 (Midnight Black, 128 GB)","₹11,999","27,867 Ratings & 1,943 Reviews"
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹16,999","1,74,572 Ratings & 13,590 Reviews"
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹14,490",220 Ratings & 0 Reviews
"MOTOROLA g52 (Metallic White, 128 GB)","₹12,999","32,952 Ratings & 3,684 Reviews"
"MOTOROLA g73 5G (Midnight Blue, 128 GB)","₹18,999","3,038 Ratings & 331 Reviews"
"Infinix Smart 6 HD (Aqua Sky, 32 GB)","₹5,999","27,342 Ratings & 1,497 Reviews"
"Infinix Smart 6 HD (Force Black, 32 GB)","₹5,999","27,342 Ratings & 1,497 Reviews"
"Infinix Smart 6 HD (Origin Blue, 32 GB)","₹5,999","27,342 Ratings & 1,497 Reviews"
"APPLE iPhone 14 Plus (Midnight, 128 GB)","₹79,999","7,500 Ratings & 473 Reviews"
"vivo T1 44W (Midnight Galaxy, 128 GB)","₹17,999","6,368 Ratings & 508 Reviews"
"APPLE iPhone 14 (Purple, 128 GB)","₹71,999","26,286 Ratings & 986 Reviews"
"REDMI A1 (Light Green, 32 GB)","₹6,455","5,530 Ratings & 255 Reviews"
"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)","₹16,434","8,567 Ratings & 659 Reviews"
"POCO C50 (Country Green, 32 GB)","₹7,299","3,780 Ratings & 207 Reviews"
"realme C55 (Rainy Night, 128 GB)","₹13,999","1,325 Ratings & 0 Reviews"
"realme C55 (Rainy Night, 64 GB)","₹10,999","1,904 Ratings & 0 Reviews"
